Accounts,Usage Nov,Usage Dec,Usage Jan,Decline Yes / No,ARR,#tickets,Renewal,Ticket Stress level,Call?
Br. C.A.T. International Co. Limited - K.S.A.,Null,Null,Null,Needs Review,2399.633973,3,NO,Low,Data Validation Required
Cognizant Technology Services,3,4,3,NO,2199.664475,3,NO,Low,Monitor
Nielsen Media Saudi Limited,4,4,3,NO,4949.111756,3,NO,Low,Monitor
Gebr Heinemann (JAH Duty Free),#N/A,3,4,NO,45898.86551,3,NO,Low,Monitor
NAVA,3,3,1,YES,3749.028144,3,YES,Low,Usage Recovery Intervention
Transworld Group,2,2,2,NO,4498.780447,3,YES,Low,Monitor
TAV Contracting,3,3,3,NO,4499.313699,3,YES,Low,Monitor
HMY Group,3,1,2,NO,3499.466211,3,YES,Low,Monitor
Dejam Real estate,0.83,0,0,#DIV/0!,4499.313699,3,NO,Low,#DIV/0!
Qiddiya Investment Company (QIC),2,2.96,3,NO,116482.2324,3,NO,Low,Expansion / Upsell Play
Beyond Limits Inc.,Null,2,1,YES,3499.466211,3,NO,Low,Usage Recovery Intervention
Systra KSA,#N/A,#N/A,0,Needs Review,5499.161188,3,NO,Low,Data Validation Required
Tamam Finance Company,#N/A,0,2.7,#DIV/0!,9998.474888,3,NO,Low,#DIV/0!
Al-Andalus Property Co.,4,4,4,NO,7998.77991,2,NO,Low,Monitor
Haramain,4,4,3.99,NO,124610.8592,2,NO,Low,Expansion / Upsell Play
Styli,4,4,4,NO,24996.18722,2,NO,Low,Monitor
Mathevon Middle East Industry,3,3,3,NO,4674.486979,2,NO,Low,Monitor
nascoresaudi.com,4,4,4,NO,17364.01805,2,NO,Low,Monitor
Hoshan Holding,3.13,3,3,NO,15727.46769,2,NO,Low,Monitor
Red Sea Company Limited,3.7,3.7,3.7,NO,16035.68734,2,NO,Low,Monitor
King Fahad Causeway Authority (KFCA),1.5,1.5,1.5,NO,13007.88252,2,NO,Low,Monitor
ICF SH&E Ltd,2,1,2,NO,14304.75137,2,NO,Low,Monitor
